NU_INSCRICAO;NU_ANO;TP_FAIXA_ETARIA;TP_SEXO;TP_ESTADO_CIVIL;TP_COR_RACA;TP_NACIONALIDADE;TP_ST_CONCLUSAO;TP_ANO_CONCLUIU;TP_ESCOLA;TP_ENSINO;IN_TREINEIRO;CO_MUNICIPIO_ESC;NO_MUNICIPIO_ESC;CO_UF_ESC;SG_UF_ESC;TP_DEPENDENCIA_ADM_ESC;TP_LOCALIZACAO_ESC;TP_SIT_FUNC_ESC;CO_MUNICIPIO_PROVA;NO_MUNICIPIO_PROVA;CO_UF_PROVA;SG_UF_PROVA;TP_PRESENCA_CN;TP_PRESENCA_CH;TP_PRESENCA_LC;TP_PRESENCA_MT;CO_PROVA_CN;CO_PROVA_CH;CO_PROVA_LC;CO_PROVA_MT;NU_NOTA_CN;NU_NOTA_CH;NU_NOTA_LC;NU_NOTA_MT;TX_RESPOSTAS_CN;TX_RESPOSTAS_CH;TX_RESPOSTAS_LC;TX_RESPOSTAS_MT;TP_LINGUA;TX_GABARITO_CN;TX_GABARITO_CH;TX_GABARITO_LC;TX_GABARITO_MT;TP_STATUS_REDACAO;NU_NOTA_COMP1;NU_NOTA_COMP2;NU_NOTA_COMP3;NU_NOTA_COMP4;NU_NOTA_COMP5;NU_NOTA_REDACAO;Q001;Q002;Q003;Q004;Q005;Q006;Q007;Q008;Q009;Q010;Q011;Q012;Q013;Q014;Q015;Q016;Q017;Q018;Q019;Q020;Q021;Q022;Q023;Q024;Q025
210055665589;2022;4;F;1;3;1;1;2;1;;0;;;;;;;;2510808;Patos;25;PB;0;0;0;0;;;;;;;;;;;;;1;;;;;;;;;;;;E;B;A;A;5;A;A;B;C;A;A;B;A;A;A;A;A;A;B;A;A;B;A;A;B
210054972570;2022;2;F;1;1;1;2;0;3;1;0;;;;;;;;2804508;Nossa Senhora da Glória;28;SE;1;1;1;1;1086;1055;1065;1076;458.7;539.8;488.2;456.8;DDDDDBCDDDBDDADDDDDDDDDADDDBDDCDDDDDDDDDDEDDD;AEAADEDEDDADDDDEDDDBDDDDADDBDDDDDDDDDEDDBBDDD;EABAAEAAAAAAAAEAAACAAAABCABAAAAAADDDDCADAAAAA;DDDDDCDEEDDCCDDDDADCDCDDDDDBDADDDDDDDCDDDDEDD;1;EACDDEBEACCCDABCEECBBCCAEBEDABEADBADDCBDDAAEB;DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA;DCBDEEDCAAEAAACABBDBEBACCBEEECCBBDCAAADCCABEDBDECE;DBAAACEBEDAECCBECDEECBDCABECBEABDDCCDBDXCBAAC;1;160;200;180;200;200;940;E;E;B;A;4;B;A;B;C;A;B;B;A;A;A;A;A;A;B;A;A;C;A;A;B
210055449344;2022;4;M;1;2;1;1;1;1;;0;;;;;;;;2927408;Salvador;29;BA;0;0;0;0;;;;;;;;;;;;;1;;;;;;;;;;;;D;B;F;A;2;B;A;B;B;A;A;B;A;A;A;A;A;A;B;A;A;B;A;B;B
210057944037;2022;6;F;1;3;1;1;0;1;;0;;;;;;;;3550308;São Paulo;35;SP;0;0;0;0;;;;;;;;;;;;;1;;;;;;;;;;;;C;E;C;D;4;C;A;B;B;A;A;B;A;A;A;B;A;A;B;A;A;D;A;A;B
210054861834;2022;7;M;1;2;2;1;3;1;;0;;;;;;;;5103403;Cuiabá;51;MT;0;0;0;0;;;;;;;;;;;;;1;;;;;;;;;;;;E;E;B;B;3;C;A;B;C;A;B;B;A;B;B;B;A;A;B;A;B;C;A;B;B
210055201589;2022;8;F;1;3;1;2;0;2;1;0;2802106;Estância;28;SE;2;1;1;2802106;Estância;28;SE;0;0;0;0;;;;;;;;;;;;;1;;;;;;;;;;;;B;C;B;B;2;B;A;B;B;A;A;B;A;A;A;A;A;A;B;A;A;C;A;A;B
210056844882;2022;5;F;1;2;1;1;0;1;;0;;;;;;;;2910057;Dias d'Ávila;29;BA;0;0;0;0;;;;;;;;;;;;;0;;;;;;;;;;;;A;D;B;B;4;B;A;B;C;A;A;B;A;A;A;A;A;A;B;A;A;B;A;A;B
210056065100;2022;2;F;1;3;1;3;0;1;;1;;;;;;;;3510500;Caraguatatuba;35;SP;1;1;1;1;1086;1055;1065;1076;396.8;528.7;551.4;536;ABEACDCACEADBDBDBAEBCDCABBBEDCBEBDACDAAECEDAE;CEABADCEDEBAECBADABBCDBDAAEDCEDBABCACBEDAEDEA;CCBDBECEAECBDDECACCDBACECCBADBCAADACCCDDBCEDE;CABACCAEEAABEDCCCBBECCBAEBEBCCDBDBAEDEDABEAEB;0;EACDDEBEACCCDABCEECBBCCAEBEDABEADBADDCBDDAAEB;DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA;DCBDEEDCAAEAAACABBDBEBACCBEEECCBBDCAAADCCABEDBDECE;DBAAACEBEDAECCBECDEECBDCABECBEABDDCCDBDXCBAAC;1;140;180;100;140;80;640;G;F;F;F;2;B;A;B;C;B;A;B;A;B;A;B;A;A;B;A;A;C;B;B;B
210057551883;2022;8;F;1;2;1;1;5;1;;0;;;;;;;;3137007;Ladainha;31;MG;1;1;1;1;1088;1058;1067;1077;481.4;603.6;589;695;DDCDACAEDAEDDBBDABACDCACBBECBBECABDCEBECDABAC;DBDAAADEDEBBCDEADEABDBBCECDDADBAEEDDECBDBBACE;ACDEACEBBDBEBEAAADEEECDBDEAAADEABACBBCBCDCCCC;CEBBBECAACBBBEAADDEEBDADBBDAABDEACABBEACAECAC;1;DDCBBCCDDAADBAABEDABCEEAEBAEBECBDDEBEACCEACCD;CEDAAADBAECBCDDADEABCBECAEEDAEBABBCDECBABEACD;CDBEDACDEACAABDBDBDDCABEEECEABECABEEAAACBBEBADCCCC;CCCCBXCBABECBEABDDDBDECDBDCAACEECCEBDBAAAEDAE;1;140;200;160;160;200;860;B;F;A;D;6;B;A;B;E;B;B;B;A;B;A;A;A;A;B;A;A;D;A;A;B
210054722657;2022;2;F;1;1;1;3;0;1;;1;;;;;;;;3302403;Macaé;33;RJ;0;0;0;0;;;;;;;;;;;;;0;;;;;;;;;;;;D;B;F;D;5;D;D;C;D;B;B;B;A;B;A;B;A;A;C;B;B;E;A;A;B
210055739197;2022;1;F;1;3;1;3;0;1;;1;;;;;;;;2604007;Carpina;26;PE;1;1;1;1;1086;1055;1065;1076;466.5;476.2;488.3;462.7;CCDDCEEABDDDCABEDBEABCCBBCCEEDDEBCBCBDEBEECDB;BEADADABEEABDBBDBEABCDCBBEEECCABDBEACDDDAEDCE;CCDDBEEDAEDBCDEBECCDDAEDBCEDCAABEDDCECADBACAE;CBDCABEDEBABBEDBAEABCDDBDEBAAECBEDDBBCADCCECA;0;EACDDEBEACCCDABCEECBBCCAEBEDABEADBADDCBDDAAEB;DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA;DCBDEEDCAAEAAACABBDBEBACCBEEECCBBDCAAADCCABEDBDECE;DBAAACEBEDAECCBECDEECBDCABECBEABDDCCDBDXCBAAC;4;0;0;0;0;0;0;H;E;C;B;6;B;A;B;C;A;A;B;A;B;A;A;A;A;B;A;A;D;A;B;B
210056627737;2022;5;F;1;3;1;1;2;1;;0;;;;;;;;2606804;Igarassu;26;PE;0;0;0;0;;;;;;;;;;;;;1;;;;;;;;;;;;C;E;B;C;3;C;A;B;D;A;A;B;A;A;A;A;A;A;B;A;A;C;A;B;B
210056235859;2022;4;F;1;1;1;1;0;1;;0;;;;;;;;3302007;Itaguaí;33;RJ;1;1;1;1;1088;1058;1067;1077;493.8;498.2;527;343;CAEDABEDDCBABCDEDAACBEADCBCEADBDDCEBABACDBEAC;DBDBAEACDEEBBDEADEADECBDABCEDABBEACDBCDCBDDCE;AACEECAACDBDBDCBABECEAADDCEABCECEACEBBADDECAB;EDBCEADBCAEBDBCDEACBDAECDABECEDCBBAECDACEABDE;1;DDCBBCCDDAADBAABEDABCEEAEBAEBECBDDEBEACCEACCD;CEDAAADBAECBCDDADEABCBECAEEDAEBABBCDECBABEACD;CDBEDACDEACAABDBDBDDCABEEECEABECABEEAAACBBEBADCCCC;CCCCBXCBABECBEABDDDBDECDBDCAACEECCEBDBAAAEDAE;1;120;120;120;120;160;640;B;D;D;B;2;B;A;C;C;B;A;B;B;B;A;B;A;A;B;B;A;C;A;B;B
210057706656;2022;4;M;1;3;1;1;1;1;;0;;;;;;;;2304400;Fortaleza;23;CE;1;1;1;1;1087;1056;1066;1078;476;559.2;607.3;625.4;CBAACCAAACBAEECBCCDCDEDEECEECEABDCBDEEDBBAECA;EABABADDDBCCBABDCEEEADAAEEAAAEBCCCCACBEDABDEE;CAEAADDBCAEAECEAADACACEACBAEEAAABEECECABCECBD;BDECACABDACADAACCDADEDCBDCCDEBCBEEBCADABBBDBA;1;DDECDBEACCAEBEAEBBCCDDCBDDACBEACEABCEABEDADBA;ECBABCDDAAECBCBECAEBAEACDEEDABBCDDEABCEDAAADB;DECDBDCEAADDBCABEDCAAADCCECEEBABEEAAABDBCCCABEECBB;BEEDAEABDDCEBDBAAAAACXCBCCCBCCDBDEECBDCABEECD;1;140;160;120;160;180;760;E;E;B;B;3;E;A;C;C;B;A;B;B;B;A;A;A;A;C;A;A;B;A;A;B
210055059648;2022;8;F;1;3;1;1;6;1;;0;;;;;;;;3151800;Poços de Caldas;31;MG;0;0;0;0;;;;;;;;;;;;;1;;;;;;;;;;;;B;B;F;A;1;B;A;B;C;A;A;B;A;B;A;B;A;A;B;A;A;B;A;B;B
